year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2013,Wisconsin,332654,1927,8506,63489,23959,37602,3280,9568,79756,33079,71488
2013,Wyoming,31879,1017,425,6385,2271,3055,266,1516,7934,2874,6136
2014,Alabama,447219,3697,9696,92274,38946,37609,3935,11366,122043,50416,77237
2014,Alaska,37979,319,884,7822,3707,2725,611,1486,10712,4285,5428
2014,Arizona,446005,5472,11301,81424,40104,50120,2295,9152,106672,53476,85989
2014,Arkansas,280843,1844,6769,55019,25007,23731,2937,7868,80422,30572,46674
2014,California,2123026,20292,57325,376053,169808,242709,18034,54676,462573,245686,475870
2014,Colorado,264619,2116,9069,51829,19198,26637,3143,7856,62726,31142,50903
2014,Connecticut,196003,1890,4943,31216,15128,22787,918,4370,45967,22129,46655
2014,Delaware,59466,662,1606,10930,5669,6587,611,1323,15142,6572,10364
2014,Florida,1429790,8878,29984,258417,121189,180887,8107,25953,299304,169281,327790
2014,Georgia,671151,5098,15314,141929,56954,53065,5063,17076,185967,79695,110990
2014,Hawaii,83797,531,2200,14239,7534,11289,687,1581,13413,8572,23751
2014,Idaho,95125,1154,2506,18308,9996,11155,1007,2539,20792,10451,17217
2014,Illinois,758186,6549,15086,134828,63125,80642,5164,16084,176651,93654,166403
2014,Indiana,473975,5011,10154,97915,36399,43191,3986,13983,125301,53267,84768
2014,Iowa,165158,1594,3812,30261,13781,19769,1074,3127,37756,17879,36105
2014,Kansas,185385,1507,5600,35924,15613,17957,1528,5630,45949,19532,36145
2014,Kentucky,431706,2934,10064,103024,37823,33420,1766,9452,124207,45959,63057
2014,Louisiana,367857,3484,8035,78533,28753,29748,2719,9066,100102,46653,60764
2014,Maine,100989,958,1374,23894,8515,9817,339,2284,25526,9206,19076
2014,Maryland,327001,2946,5883,59809,23187,34268,2482,9593,80324,39211,69298
2014,Massachusetts,377753,3020,9299,70104,25362,42832,2124,9165,88517,41085,86245
2014,Michigan,744666,6474,17205,160460,56549,68113,4509,18998,198223,80164,133971
2014,Minnesota,260161,2872,7893,47542,21815,30414,2081,6938,57079,25245,58282
2014,Mississippi,284096,2168,7364,58977,26155,23200,2318,6205,79210,31272,47227
2014,Missouri,459320,4162,10992,102831,37144,42206,3250,13043,120288,48774,76630
2014,Montana,66395,814,1893,12192,7149,6715,472,1966,16948,5756,12490
2014,Nebraska,101356,1370,2955,16897,8843,12319,1077,2121,26342,10992,18440
2014,Nevada,201707,1493,4659,40217,21161,18415,1457,5875,51746,26192,30492
2014,New Hampshire,75897,894,1264,13462,7836,8817,317,1450,18795,7622,15440
2014,New Jersey,496649,4593,9816,82631,38487,58429,3561,9072,105447,62809,121804
2014,New Mexico,160302,1322,4996,30562,14340,17145,629,4560,39516,18338,28894
2014,New York,1237290,10795,29573,209891,93446,133236,10403,30588,290324,147077,281957
2014,North Carolina,742242,5089,20271,157205,63708,61012,6677,17234,194407,86499,130140
2014,North Dakota,36795,488,1564,6518,2996,4470,68,921,8091,2893,8786
2014,Ohio,822674,7388,16503,164165,65107,78040,6426,21167,217625,94273,151980
2014,Oklahoma,332418,2902,9619,68270,27907,30716,3057,11907,84511,37854,55675
2014,Oregon,293250,1932,8836,58646,24911,30391,1609,7937,71609,32511,54868
2014,Pennsylvania,870908,6510,21700,171300,66058,91268,6914,22236,201490,94865,188567
2014,Rhode Island,76408,695,2624,12594,5986,7285,777,2476,19662,7526,16783
2014,South Carolina,390434,3435,10076,81790,36868,30883,1712,9274,104448,46489,65459
2014,South Dakota,47640,625,819,8529,5180,5500,418,1320,9320,4670,11259
2014,Tennessee,566259,3553,15086,126653,46294,45846,3450,14889,154529,66477,89482
2014,Texas,1610838,16390,41722,316920,142326,153812,15249,43527,399236,198959,282697
2014,Utah,126385,3465,3787,24250,9251,13285,1955,4330,29961,12667,23434
2014,Vermont,43972,250,1345,7511,4076,5062,366,2006,10679,4527,8150
2014,Virginia,496152,5486,9946,103148,40737,49639,3189,12186,117311,59134,95376
2014,Washington,437990,3312,11150,85180,37889,42848,2456,12112,106641,53026,83376
2014,West Virginia,208320,1553,4450,49544,19256,16760,1059,5926,54870,23872,31030
2014,Wisconsin,329592,3452,8229,64433,25069,36862,2958,9242,80888,30523,67936
2014,Wyoming,33893,396,1449,7756,3110,3415,295,676,8151,3683,4962
2015,Alabama,454696,3557,11174,96438,41029,34570,2943,9965,123862,56358,74800
2015,Alaska,38595,279,1535,8204,3666,3629,331,2125,8781,5338,4707
2015,Arizona,446552,3572,10031,84803,41004,52485,3337,9514,100832,54129,86845
2015,Arkansas,280601,1684,6223,57718,25380,24610,1643,6137,76486,32373,48347
2015,California,2160427,20604,63873,392458,177731,253824,16802,48948,457387,249979,478821
2015,Colorado,261113,3342,7844,50373,20848,27521,1748,6603,59973,31916,50945
2015,Connecticut,193439,2209,4667,33927,12714,23800,1369,3856,42612,22125,46160
2015,Delaware,60194,450,1806,10294,6823,6911,578,1892,12857,7154,11429
2015,Florida,1452698,9227,27631,250728,127889,193825,8663,28373,301572,171412,333378
2015,Georgia,648821,5046,13071,134428,57949,55460,5859,15530,174139,78739,108600
2015,Hawaii,77779,66,1674,13650,5508,11292,114,2117,12660,9150,21548
2015,Idaho,104601,387,3709,21074,9158,12597,1349,3004,21559,12759,19005
2015,Illinois,738318,6167,15782,133212,65186,77544,5394,15818,171166,89720,158329
2015,Indiana,476591,4328,12017,98609,37588,40405,3326,14469,123419,58842,83588
2015,Iowa,175905,1542,5374,30503,14544,20170,1773,2587,42721,18150,38541
2015,Kansas,183153,1992,3951,38335,14244,19421,1752,4840,44064,21021,33533
2015,Kentucky,416155,3637,7857,101551,37818,30668,2125,9139,116630,44846,61884
2015,Louisiana,364217,3258,8781,74958,33773,29177,3053,10554,92404,46097,62162
2015,Maine,99237,921,2517,21547,7188,10740,553,1175,26080,10296,18220
2015,Maryland,336204,3317,7340,61099,27198,34664,2468,7107,84945,37491,70575
2015,Massachusetts,385670,3310,8637,69315,29038,41617,2022,8517,90920,44642,87652
2015,Michigan,730082,5169,17207,155383,56244,66963,4555,18978,189460,82816,133307
2015,Minnesota,265784,2072,6231,49506,21400,31781,1574,6416,58656,30948,57200
2015,Mississippi,278899,2238,6963,59121,24337,21000,2324,6507,74355,36826,45228
2015,Missouri,456452,4080,10161,94963,40360,42607,2889,11737,120037,48512,81106
2015,Montana,69428,449,1822,14922,7706,7497,658,2343,14248,7378,12405
2015,Nebraska,101018,946,2611,17143,8055,12086,980,2716,22671,11738,22072
2015,Nevada,210212,3754,6593,43305,21633,20018,3412,7558,48865,22887,32187
2015,New Hampshire,80577,1348,1474,15742,6613,9021,156,3159,19321,9284,14459
2015,New Jersey,492435,3789,12540,79407,42442,56832,3237,9569,101274,60338,123007
2015,New Mexico,168658,1344,4372,32082,16930,19150,2200,4996,38247,20608,28729
2015,New York,1231815,11892,28202,212835,96105,132263,7300,29636,287977,150041,275564
2015,North Carolina,737221,7295,15199,149925,62664,66192,5034,20574,191782,90460,128096
2015,North Dakota,36434,67,368,6811,3260,4529,48,668,7666,4445,8572
2015,Ohio,816989,6619,17339,163788,63527,78303,5393,19503,219727,89726,153064
2015,Oklahoma,322083,3258,8159,65680,29351,29491,3000,9448,83807,38029,51860
2015,Oregon,291625,2508,5948,54574,28177,29891,1473,8155,70815,35728,54356
2015,Pennsylvania,886643,7623,16735,165884,69227,92682,6967,23102,214608,99366,190449
2015,Rhode Island,70541,580,779,13628,5182,7638,393,2583,17072,8408,14278
2015,South Carolina,397470,3374,8925,83199,37775,35750,2111,8518,104107,47059,66652
2015,South Dakota,44728,212,867,8122,3794,5209,421,922,9994,4793,10394
2015,Tennessee,558320,4142,13376,122920,46384,47720,4841,13470,148819,64607,92041
2015,Texas,1624753,16209,48313,312025,142544,155689,15156,43857,395872,202758,292330
2015,Utah,128069,1690,3985,21511,9041,14852,1357,4509,30870,14645,25609
2015,Vermont,39067,540,1346,7792,3112,4048,235,694,8764,4209,8327
2015,Virginia,484288,4155,11417,93167,39700,48506,4180,10958,121185,54897,96123
2015,Washington,441737,4009,11955,86606,39301,46267,2727,12424,105268,54257,78923
2015,West Virginia,197389,1414,3430,46256,21093,19071,1134,3201,48569,24042,29179
2015,Wisconsin,327768,2277,8218,64297,24600,35829,1802,7883,83480,34205,65177
2015,Wyoming,32779,562,641,6337,2665,3222,215,791,8136,3881,6329
2016,Alabama,446188,5135,9911,94299,37783,39409,2597,10283,112422,57933,76416
2016,Alaska,38663,326,1471,7998,3755,2448,513,1326,9807,5001,6018
2016,Arizona,466891,4340,13673,87486,45058,51966,2838,11793,102958,56686,90093
2016,Arkansas,269843,2352,6345,56764,22553,25986,1940,6040,73616,31839,42408
2016,California,2211835,21012,56883,376949,187034,264054,18135,50218,465803,269279,502468
2016,Colorado,271635,2174,8423,54729,22457,30050,1736,9206,64208,30257,48395
2016,Connecticut,197947,1729,3732,35425,15964,23007,955,3952,41076,22022,50085
2016,Delaware,63698,87,2209,11461,5708,5870,635,891,15274,9584,11979
2016,Florida,1486403,8963,32884,256497,127677,201547,8334,29980,308658,178880,332983
2016,Georgia,699843,6826,17905,141897,63739,55874,6532,18696,184757,89049,114568
2016,Hawaii,85354,364,1637,13950,8056,12489,129,2259,13821,9965,22684
2016,Idaho,102077,984,3545,17483,10625,13046,1098,3334,23395,10017,18550
2016,Illinois,749315,5722,14945,134043,66091,80646,5374,12171,177465,90797,162061
2016,Indiana,472405,4328,9950,96965,41967,43484,3016,10313,123262,54924,84196
2016,Iowa,172465,1662,3719,30250,16184,19788,1822,3437,38426,19056,38121
2016,Kansas,179853,1559,4359,34070,14866,19579,1006,4057,45455,21733,33169
2016,Kentucky,427512,3565,9178,97381,37049,34844,2227,10819,118949,49397,64103
2016,Louisiana,368213,3211,10996,73335,32805,30606,3094,8400,97915,47466,60385
2016,Maine,95822,282,2170,19502,8050,10335,414,2325,25001,9503,18240
2016,Maryland,343366,2441,8124,62696,27289,32055,2659,7334,86182,43407,71179
2016,Massachusetts,373778,2820,8858,63214,30598,42975,3583,9901,83863,42378,85588
2016,Michigan,730974,5742,18761,154577,56522,68970,5418,19940,189070,80428,131546
2016,Minnesota,266438,1995,6537,48446,21672,31485,2421,5747,62418,28183,57534
2016,Mississippi,267388,1957,5854,53946,22538,21094,1143,6426,73115,35377,45938
2016,Missouri,462633,2793,9913,96061,40243,44214,3002,11397,122271,51938,80801
2016,Montana,69005,532,1627,14551,8302,8451,753,1548,14431,7694,11116
2016,Nebraska,104240,1557,2546,19920,9479,11960,859,2308,20909,11427,23275
2016,Nevada,207080,4008,8033,40426,20864,20360,2149,8070,47427,24597,31146
2016,New Hampshire,77903,879,1086,17166,6879,8453,450,1939,18556,9681,12814
2016,New Jersey,501030,4813,9272,84847,40392,57819,2875,9172,107754,61615,122471
2016,New Mexico,166009,1773,3607,28477,14678,18922,977,4319,41607,20300,31349
2016,New York,1223338,10001,25436,208316,90282,137278,10702,31211,281656,151316,277140
2016,North Carolina,719269,6061,18085,142695,65783,63332,4448,17621,187976,87040,126228
2016,North Dakota,37974,55,811,8313,3540,5197,282,1244,6688,4158,7686
2016,Ohio,839070,7581,18970,169542,69148,79110,5457,20450,212684,99387,156741
2016,Oklahoma,331702,2133,9053,66824,30664,31688,2287,9266,85712,38608,55467
2016,Oregon,284610,1592,7036,50466,26622,28939,1588,8061,65940,36195,58171
2016,Pennsylvania,913484,7611,19143,184250,75636,92206,4538,22322,217215,107829,182734
2016,Rhode Island,72773,408,2393,15205,4766,7088,392,1522,19111,8724,13164
2016,South Carolina,396357,3046,9671,81824,35610,34891,2386,7189,102059,52317,67364
2016,South Dakota,47168,372,1997,7705,5085,4590,262,1130,11143,5437,9447
2016,Tennessee,549536,4073,13952,116773,46748,45325,3602,12395,145706,65295,95667
2016,Texas,1664160,18356,49762,305405,151707,167312,15678,45920,392123,217889,300008
2016,Utah,128248,1913,4353,22907,10928,13000,1460,4605,29620,14779,24683
2016,Vermont,41093,155,1119,7342,4969,4195,410,958,10719,4254,6972
2016,Virginia,492478,4766,11687,92403,42344,50729,3752,12534,120305,58235,95723
2016,Washington,460548,3367,15092,84942,37105,52201,3290,12706,107485,54141,90219
2016,West Virginia,204272,1459,6080,48420,19116,19139,1071,3826,49049,25127,30985
2016,Wisconsin,326975,2992,6779,60807,28246,38210,1708,6427,76538,37801,67467
2016,Wyoming,36904,476,1162,7142,3775,3503,297,459,8011,5224,6855
2017,Alabama,456152,3420,14480,94811,44660,38471,2013,11415,109708,59063,78111
2017,Alaska,40843,195,1618,8813,2987,3850,335,1508,11122,5360,5055
2017,Arizona,453780,2996,12786,81215,42578,55968,2772,10189,99297,56767,89212
2017,Arkansas,282359,1636,7175,58889,25763,25757,2041,6672,73770,35229,45427
2017,California,2144950,21748,57626,359152,185702,258901,16156,55706,432769,274484,482706
2017,Colorado,277815,2778,7649,50699,26535,28276,2785,9143,63144,33957,52849
2017,Connecticut,192688,1613,4844,31004,16184,23535,1394,4122,40802,24023,45167
2017,Delaware,56105,262,911,9157,4699,5929,557,1248,14091,6811,12440
2017,Florida,1511269,12011,34090,263845,141399,198225,9448,25811,304756,178663,343021
2017,Georgia,661964,3325,14771,131768,59474,57971,5454,14892,165126,87533,121650
2017,Hawaii,75850,218,2253,10119,8023,11961,830,1203,11068,8762,21413
2017,Idaho,108275,1248,3193,23769,10308,14374,1211,2641,23137,10385,18009
2017,Illinois,743342,5682,18848,132253,69827,83858,3268,13212,163840,92271,160283
2017,Indiana,463687,6387,11709,94411,36070,45176,4800,10168,116643,57628,80695
2017,Iowa,164205,1237,2737,30803,13729,19971,1265,3682,37298,17888,35595
2017,Kansas,187476,1821,4287,34740,14637,19674,923,5411,46321,23606,36056
2017,Kentucky,417846,3724,11375,94290,38646,33857,3057,9378,116219,45304,61996
2017,Louisiana,346217,2639,8169,71863,29914,30530,3146,9762,83636,48155,58403
2017,Maine,103564,792,1828,21673,10942,10432,502,2784,22689,11398,20524
2017,Maryland,338530,2122,7304,59061,26215,36842,2095,7178,83232,41614,72867
2017,Massachusetts,375645,2829,8557,63494,34335,43601,2196,8573,79156,44493,88411
2017,Michigan,721416,5306,17451,143082,64386,69481,5719,19263,180401,81852,134475
2017,Minnesota,266420,2289,7437,47500,24897,32303,2365,5365,57410,28348,58506
2017,Mississippi,276977,989,7190,63651,25419,23429,1285,5638,67658,36367,45351
2017,Missouri,466153,2926,11262,90677,42178,47441,4297,11020,115744,57679,82929
2017,Montana,64567,665,1666,13310,7006,8224,374,1069,13033,8518,10702
2017,Nebraska,106857,680,2764,18057,11809,11975,1157,1917,26123,12662,19713
2017,Nevada,184461,1093,4984,33476,20847,19507,499,4103,45581,22137,32234
2017,New Hampshire,78961,592,1343,14060,9074,9494,251,1864,16283,10745,15255
2017,New Jersey,488741,3975,9272,83738,39578,58727,2711,9375,99734,61701,119930
2017,New Mexico,162218,1563,5294,32083,13830,18951,911,3170,38972,19562,27882
2017,New York,1223910,10609,27817,205109,94865,141702,9974,25087,269952,157402,281393
2017,North Carolina,717537,5967,18377,145461,64390,68422,4321,15719,172926,89937,132017
2017,North Dakota,35221,97,591,7795,3511,4235,260,1244,7640,3471,6377
2017,Ohio,812109,7181,17842,161951,66643,79582,5235,17707,200211,97715,158042
2017,Oklahoma,341745,2677,8453,71005,32905,31544,2184,10633,85044,40649,56651
2017,Oregon,277265,1912,5770,51634,29227,31098,1597,7054,60792,35084,53097
2017,Pennsylvania,896123,6961,18430,161699,76003,97747,6182,21312,211125,106194,190470
2017,Rhode Island,66102,1097,778,9676,5598,5789,565,2237,19592,7269,13501
2017,South Carolina,391594,4354,8181,83660,38343,38039,1250,7137,99588,45214,65828
2017,South Dakota,41465,367,867,8413,4188,5285,357,1186,8005,4634,8163
2017,Tennessee,541397,2958,9946,107989,48903,50699,4030,11752,139949,69925,95246
2017,Texas,1635737,17630,50681,306943,154828,162472,15126,40755,381468,211283,294551
2017,Utah,123216,2008,3764,21992,10076,15713,1366,3734,27750,14065,22748
2017,Vermont,38496,649,826,8461,2701,4356,92,600,8216,4582,8013
2017,Virginia,487933,5574,11049,89205,45483,50161,2359,11583,117350,59136,96033
2017,Washington,447098,3342,10904,81954,39610,48537,3935,10665,103405,57494,87252
2017,West Virginia,195876,1123,2931,42760,21726,17903,1250,3290,49134,24139,31620
2017,Wisconsin,326424,2021,7124,57626,31362,36738,2088,8737,75907,37144,67677
2017,Wyoming,36656,51,712,8293,3101,4679,130,782,8292,5039,5577
2018,Alabama,434382,2633,11026,87966,37778,40008,1293,8499,116310,54029,74840
2018,Alaska,38845,127,998,9263,4261,4225,109,1151,8474,4759,5478
2018,Arizona,465431,4293,10813,81081,47969,56595,3383,10733,105766,55545,89253
2018,Arkansas,285534,2015,6389,58279,28302,30337,1010,5819,73210,35189,44984
2018,California,2087716,19870,47531,333472,180727,263373,15884,46735,412897,271541,495686
2018,Colorado,275040,2502,8529,47984,25032,31033,2347,7720,65184,32083,52626
2018,Connecticut,192399,1707,5589,31454,17922,22790,1485,3556,40687,20354,46855
2018,Delaware,63838,352,1453,11614,6087,6910,519,813,15985,8316,11789
2018,Florida,1512895,11923,30145,248461,135116,213744,9312,24969,294394,184899,359932
2018,Georgia,641382,8094,17778,124427,58650,60164,4974,16051,160206,83724,107314
2018,Hawaii,75650,127,1075,12672,7637,11602,434,1791,11671,8322,20319
2018,Idaho,102166,397,3644,20084,9150,11837,556,2641,22840,11167,19850
2018,Illinois,724514,4190,16373,121891,66790,78029,6010,16068,163416,90858,160889
2018,Indiana,461763,3759,9421,90088,40249,45564,4240,11450,118296,53440,85256
2018,Iowa,167220,1515,3259,29906,14159,19595,1573,2592,37424,20235,36962
2018,Kansas,188883,2241,3606,33201,18484,24666,1372,3965,46462,20792,34094
2018,Kentucky,405756,3733,7831,88612,38133,34042,2508,8131,111294,49198,62274
2018,Louisiana,352588,3880,9325,74732,33430,31039,1672,7319,83094,46616,61481
2018,Maine,95624,294,2084,20869,9097,9917,356,2045,18493,12741,19728
2018,Maryland,330519,1902,7308,56547,29727,35975,2739,7454,78122,41370,69375
2018,Massachusetts,378037,5105,7633,61965,31388,42993,3266,8168,82427,45654,89438
2018,Michigan,712328,6759,14949,137052,66718,69112,5073,15552,178810,86749,131554
2018,Minnesota,268223,3173,5344,46498,23268,35812,2305,5531,54642,32409,59241
2018,Mississippi,266996,1143,6414,55068,23436,21982,1055,5390,73552,32722,46234
2018,Missouri,457177,3465,10890,86078,44152,45594,3345,11995,110430,59562,81666
2018,Montana,63792,945,786,11749,6932,7092,961,1543,14381,7916,11487
2018,Nebraska,104888,1479,2245,18651,8977,12468,786,2230,20969,12760,24323
2018,Nevada,193204,1404,5146,35768,22025,22986,1176,4084,43303,23842,33470
2018,New Hampshire,76837,170,1486,15321,7419,8716,330,1426,18917,8841,14211
2018,New Jersey,482186,3733,9273,76317,38989,57202,2376,8199,99673,65136,121288
2018,New Mexico,166822,2167,4102,29767,16557,20360,584,2950,38470,21924,29941
2018,New York,1194037,12367,26454,189237,99507,134017,8402,30220,272796,142233,278804
2018,North Carolina,699127,5691,14887,136827,66213,69249,3880,15030,173619,86683,127048
2018,North Dakota,36696,207,873,5861,2975,6780,43,786,6019,4380,8772
2018,Ohio,810857,7144,17064,151496,72894,83064,5074,17696,203561,94916,157948
2018,Oklahoma,337091,2470,9678,64644,36462,33316,1996,8190,81392,41919,57024
2018,Oregon,273245,2195,8747,46692,26912,31195,2570,8105,59263,36728,50838
2018,Pennsylvania,877987,7149,18367,151301,77571,97636,6146,20716,206156,105128,187817
2018,Rhode Island,69378,506,2195,12366,6438,7850,304,1810,16770,7686,13453
2018,South Carolina,377581,2244,8016,76030,38153,35160,928,8228,93354,47719,67749
2018,South Dakota,49039,166,961,10099,5144,5033,320,820,10913,5762,9821
2018,Tennessee,549350,3923,11996,109807,47593,48563,4471,12656,146851,67871,95619
2018,Texas,1622028,19178,45575,297821,148065,169814,14484,40750,367068,211651,307622
2018,Utah,129024,1786,3916,23302,11404,13643,1989,4386,30468,13074,25056
2018,Vermont,39779,358,1306,8147,4021,3894,306,1026,8344,5026,7351
2018,Virginia,501572,4041,11721,88624,46881,57721,3555,11967,112122,63353,101587
2018,Washington,447868,3752,9940,87488,44027,50178,3255,10636,97034,55527,86031
2018,West Virginia,186383,1493,3614,39858,19332,19092,1410,3637,44511,22901,30535
2018,Wisconsin,310325,2576,5008,53892,30139,38215,2093,6116,73242,37367,61677
2018,Wyoming,30749,208,808,4789,3587,3305,438,782,7379,4317,5136
2019,Alabama,421440,2637,7178,77994,42992,38763,1912,9087,108832,54377,77668
2019,Alaska,37072,377,851,7627,4674,3314,406,1653,8636,4766,4768
2019,Arizona,471418,4553,13629,81326,46671,61890,3637,11128,95949,59098,93537
2019,Arkansas,280097,1076,5688,59158,26401,27053,1998,5439,69830,36185,47269
2019,California,2110747,19150,50990,333209,192731,263998,18303,44272,404503,271413,512178
2019,Colorado,263972,3177,6469,46606,25770,32675,2084,6022,57058,32131,51980
2019,Connecticut,201666,1355,3901,33749,18789,24308,611,5233,41441,23453,48826
2019,Delaware,65987,291,1895,10022,6963,7772,131,1804,14545,9826,12738
2019,Florida,1542063,10585,29657,247563,139387,208744,8666,31963,302099,190795,372604
2019,Georgia,686209,6065,20323,130629,66919,58579,6126,19757,164238,91817,121756
2019,Hawaii,82340,772,2016,12559,7180,13013,363,1557,12341,11818,20721
2019,Idaho,108850,1534,3436,21953,10904,13135,1035,3545,22977,11240,19091
2019,Illinois,743849,5224,14958,132416,70136,82458,6661,14592,160290,97844,159270
2019,Indiana,455401,3482,10526,84681,41267,44922,3808,10161,114697,55099,86758
2019,Iowa,168032,1203,3117,28801,15814,21493,603,5031,34628,18445,38897
2019,Kansas,182857,2231,5398,29152,16520,20109,1799,4419,45112,21387,36730
2019,Kentucky,411219,2600,8729,88778,38661,35640,3405,11316,109124,53013,59953
2019,Louisiana,357700,2202,8635,70049,37140,36447,2947,9336,81983,48149,60812
2019,Maine,96764,619,2277,17440,10105,11237,389,3795,20410,12152,18340
2019,Maryland,340029,2676,7504,54385,29525,36930,4013,5996,75390,49554,74056
2019,Massachusetts,372584,3049,6361,58314,34487,46660,1701,8144,79178,48872,85818
2019,Michigan,699926,4999,14951,134189,64291,73418,3326,16900,170516,86173,131163
2019,Minnesota,258358,2474,7143,44074,24816,33879,2279,6217,48837,31579,57060
2019,Mississippi,273970,2686,5233,55580,25101,24036,2374,5811,67435,34638,51076
2019,Missouri,461490,5897,10433,88259,43845,48218,2956,9626,114458,57923,79875
2019,Montana,67993,1158,1531,11459,8235,7843,611,1196,14692,9374,11894
2019,Nebraska,106249,2121,1950,19473,9314,12504,1142,1802,24529,12093,21321
2019,Nevada,198482,1457,3967,34985,22136,25228,3030,2675,42292,27946,34766
2019,New Hampshire,79919,444,1569,12291,8277,11486,326,1846,16681,10220,16779
2019,New Jersey,469489,5620,6757,68541,44516,59404,4427,8357,94950,57044,119873
2019,New Mexico,169681,1223,6263,32995,16218,19449,1486,3826,37741,20519,29961
2019,New York,1228641,9066,27575,197899,104587,142449,8731,34846,259979,153108,290401
2019,North Carolina,729524,5016,12979,134592,69673,77277,4631,15165,178206,92536,139449
2019,North Dakota,37413,156,976,5544,3976,3279,376,548,8302,6282,7974
2019,Ohio,805293,7703,16880,149960,70617,82888,4520,16867,194372,101644,159842
2019,Oklahoma,321831,2771,6377,61419,32859,33858,2686,6593,77507,40861,56900
2019,Oregon,284853,2623,7832,49467,28899,33176,1569,6687,58061,36202,60337
2019,Pennsylvania,876937,7982,15390,160077,76443,98511,7069,19085,194328,108907,189145
2019,Rhode Island,64755,408,1131,11136,5702,7166,414,1630,15819,8109,13240
2019,South Carolina,371369,1893,8073,66574,36701,38875,1977,9570,91230,49607,66869
2019,South Dakota,51197,146,909,8949,5838,7157,310,1010,10333,6850,9695
2019,Tennessee,541944,2263,9807,107256,52145,52442,4516,12118,134578,68302,98517
2019,Texas,1633397,16065,43559,293341,154694,174347,13525,42549,363662,216830,314825
2019,Utah,121838,1177,3442,19618,10616,15986,1801,4701,25259,13846,25392
2019,Vermont,41274,297,1124,7620,4576,4476,190,1367,9513,3467,8644
2019,Virginia,501211,5032,10159,88008,44160,55977,3475,11011,108921,69069,105399
2019,Washington,452457,3654,11561,78091,43301,53904,3760,11929,100429,57338,88490
2019,West Virginia,195547,1650,2833,46183,22237,18821,1717,3865,42231,24194,31816
2019,Wisconsin,323649,2281,7467,54665,30557,39141,1942,8181,71777,40732,66906
2019,Wyoming,33334,118,1069,7930,3033,3371,61,726,7141,4160,5725
