year,state,total,predominant,less_than_hs,hs_graduate,some_college,bachelor_degree
2019,California,26937872,bachelor's degree or higher,4301513,5546711,7661164,9428484
2018,California,26815644,bachelor's degree or higher,4355017,5559362,7730189,9171076
2017,California,26679273,bachelor's degree or higher,4449302,5541182,7712542,8976247
2016,California,26304241,bachelor's degree or higher,4618663,5390935,7634173,8660470
2015,California,26085263,bachelor's degree or higher,4643510,5430081,7595982,8415690
2014,California,25654292,bachelor's degree or higher,4593525,5360853,7563244,8136670
2013,California,25147232,bachelor's degree or higher,4608007,5228893,7504598,7805734
2012,California,24779784,bachelor's degree or higher,4586733,5107967,7424555,7660529
2011,California,24443872,bachelor's degree or higher,4622091,5150994,7264467,7406320
2010,California,24097200,bachelor's degree or higher,4650042,5012413,7183474,7251271
2009,California,23782109,bachelor's degree or higher,4609666,4979576,7082418,7110449
2008,California,23528476,some college or associate's degree,4651663,4903309,7011378,6962126
2007,California,23331762,bachelor's degree or higher,4612748,5396253,6439237,6883524
2006,California,23133174,bachelor's degree or higher,4605354,5368962,6452560,6706298
2005,California,22299041,bachelor's degree or higher,4442198,4868430,6402453,6585960
2019,Texas,18772550,bachelor's degree or higher,2882388,4734422,5379207,5776533
2018,Texas,18477097,bachelor's degree or higher,2963969,4627856,5284495,5600777
2017,Texas,18149346,bachelor's degree or higher,2969023,4552676,5256158,5371489
2019,New York,13664734,bachelor's degree or higher,1694230,3524192,3280094,5166218
2016,Texas,17775280,bachelor's degree or higher,3036008,4474711,5128874,5135687
2018,New York,13672343,bachelor's degree or higher,1757364,3546789,3276724,5091466
2015,Texas,17472861,some college or associate's degree,3071142,4425654,5020691,4955374
2014,Texas,17087888,some college or associate's degree,3045695,4298854,4994310,4749029
2017,New York,13821132,bachelor's degree or higher,1854945,3634065,3351960,4980162
2016,New York,13653592,bachelor's degree or higher,1868292,3574814,3342674,4867812
2013,Texas,16673656,some college or associate's degree,3017797,4207669,4856039,4592151
2012,Texas,16390379,some college or associate's degree,3042296,4124497,4839506,4384080
2015,New York,13641473,bachelor's degree or higher,1915867,3615023,3332120,4778463
2019,Florida,15484502,bachelor's degree or higher,1794635,4396122,4540108,4753637
2011,Texas,16074391,some college or associate's degree,3042227,4099519,4684966,4247679
2014,New York,13539612,bachelor's degree or higher,1930575,3599907,3341148,4667982
2018,Florida,15302125,bachelor's degree or higher,1761732,4387954,4505209,4647230
2010,Texas,15772122,some college or associate's degree,3048321,4033241,4598790,4091770
2013,New York,13419310,bachelor's degree or higher,1933631,3594712,3317089,4573878
2017,Florida,15020177,some college or associate's degree,1745933,4330040,4489712,4454492
2009,Texas,15361557,some college or associate's degree,3093666,3906082,4444505,3917304
2012,New York,13309761,bachelor's degree or higher,1954719,3579976,3331304,4443762
2016,Florida,14703671,some college or associate's degree,1855213,4249733,4390269,4208456
2008,Texas,15124846,some college or associate's degree,3082598,3848003,4362145,3832100
2011,New York,13197704,bachelor's degree or higher,1974266,3635549,3242222,4345667
2015,Florida,14394281,some college or associate's degree,1781252,4201879,4318812,4092338
2009,New York,13197392,bachelor's degree or higher,2025620,3641890,3254419,4275463
2014,Florida,14041196,some college or associate's degree,1795693,4151300,4263699,3830504
2010,New York,13089848,bachelor's degree or higher,1982107,3627235,3220714,4259792
2008,New York,13072344,bachelor's degree or higher,2078711,3614690,3205754,4173189
2013,Florida,13726996,some college or associate's degree,1807169,4042708,4142944,3734175
2007,New York,12900108,bachelor's degree or higher,2057353,3793882,2958889,4089984
2012,Florida,13503747,some college or associate's degree,1821458,4020195,4039025,3623069
2011,Florida,13267581,high school graduate (includes equivalency),1867802,4033074,3937476,3429229
2007,Texas,14836320,high school graduate (includes equivalency),3097315,4023210,3982870,3732925
2006,New York,12845882,bachelor's degree or higher,2047594,3830283,2964040,4003965
2006,Texas,14551694,high school graduate (includes equivalency),3117095,3964551,3874527,3595521
2007,Florida,12588083,high school graduate (includes equivalency),1899475,3962460,3483704,3242444
2005,New York,12546501,bachelor's degree or higher,1966624,3659953,2995991,3923933
2010,Florida,13077179,high school graduate (includes equivalency),1899051,3916584,3890293,3371251
2006,Florida,12460438,high school graduate (includes equivalency),1925363,3880665,3499960,3154450
2009,Florida,12800944,high school graduate (includes equivalency),1884001,3863394,3819835,3233714
2008,Florida,12699412,high school graduate (includes equivalency),1876816,3802995,3741154,3278447
2005,Texas,13771855,some college or associate's degree,2926461,3612343,3772239,3460812
2005,Florida,11850782,high school graduate (includes equivalency),1825829,3619623,3426742,2978588
2006,Pennsylvania,8431859,high school graduate (includes equivalency),1164007,3277304,1845376,2145172
2011,Pennsylvania,8714235,high school graduate (includes equivalency),992098,3270338,2102126,2349673
2010,Pennsylvania,8654829,high school graduate (includes equivalency),1000687,3246315,2064342,2343485
2009,Pennsylvania,8609133,high school graduate (includes equivalency),1040305,3241376,2056182,2271270
2007,Pennsylvania,8436765,high school graduate (includes equivalency),1113266,3240835,1903405,2179259
2012,Pennsylvania,8756317,high school graduate (includes equivalency),969349,3220877,2130557,2435534
2014,Pennsylvania,8858865,high school graduate (includes equivalency),934968,3220327,2135845,2567725
2013,Pennsylvania,8809510,high school graduate (includes equivalency),951728,3209801,2120807,2527174
2015,Pennsylvania,8895727,high school graduate (includes equivalency),917150,3174802,2162752,2641023
2008,Pennsylvania,8475332,high school graduate (includes equivalency),1062895,3164208,2022574,2225655
2005,Pennsylvania,8180457,high school graduate (includes equivalency),1089085,3160932,1830576,2099864
2017,Pennsylvania,8960842,high school graduate (includes equivalency),844296,3134497,2164813,2817236
2016,Pennsylvania,8921975,high school graduate (includes equivalency),880346,3132444,2161448,2747737
2018,Pennsylvania,8994627,high school graduate (includes equivalency),812098,3113998,2206049,2862482
2019,Illinois,8694694,bachelor's degree or higher,882637,2255611,2447474,3108972
2019,Pennsylvania,9028036,high school graduate (includes equivalency),811832,3103046,2195756,2917402
2018,Illinois,8706376,bachelor's degree or higher,914782,2269285,2469625,3052684
2017,Illinois,8707057,bachelor's degree or higher,949880,2272174,2487198,2997805
2016,Illinois,8665219,bachelor's degree or higher,966427,2250392,2506115,2942285
2015,Illinois,8661938,bachelor's degree or higher,991602,2314192,2502604,2853540
2014,Illinois,8639076,bachelor's degree or higher,1021866,2305681,2478122,2833407
2006,Ohio,7602462,high school graduate (includes equivalency),1045835,2817083,1994738,1744806
2007,Ohio,7627615,high school graduate (includes equivalency),987542,2805856,1998913,1835304
2013,Illinois,8593665,bachelor's degree or higher,1045002,2321273,2467288,2760102
2009,Ohio,7738348,high school graduate (includes equivalency),957753,2726971,2186848,1866776
2010,Ohio,7720849,high school graduate (includes equivalency),915093,2718983,2185983,1900790
2005,Ohio,7405261,high school graduate (includes equivalency),1013323,2715259,1951107,1725572
2008,Ohio,7664309,high school graduate (includes equivalency),947622,2713868,2155765,1847054
2012,Illinois,8558895,bachelor's degree or higher,1061131,2313202,2477209,2707353
2011,Ohio,7749236,high school graduate (includes equivalency),906505,2695735,2236251,1910745
2012,Ohio,7770716,high school graduate (includes equivalency),871251,2687397,2250756,1961312
2013,Ohio,7805254,high school graduate (includes equivalency),856589,2668826,2239273,2040566
2014,Ohio,7857460,high school graduate (includes equivalency),836031,2666563,2262648,2092218
2015,Ohio,7896470,high school graduate (includes equivalency),813274,2664823,2303257,2115116
2017,Ohio,7981885,high school graduate (includes equivalency),777688,2661209,2311638,2231350
2011,Illinois,8521694,bachelor's degree or higher,1091581,2351322,2434927,2643864
2016,Ohio,7922061,high school graduate (includes equivalency),790316,2639028,2313036,2179681
2019,Ohio,8049805,high school graduate (includes equivalency),740847,2627758,2324615,2356585
2018,Ohio,8027035,high school graduate (includes equivalency),746400,2625971,2329054,2325610
2010,Illinois,8465762,bachelor's degree or higher,1110491,2336176,2415178,2603917
2009,Illinois,8437673,bachelor's degree or higher,1146840,2302533,2406837,2581463
2019,New Jersey,6191229,bachelor's degree or higher,599619,1666321,1373524,2551765
2018,New Jersey,6189243,bachelor's degree or higher,607496,1629398,1427357,2524992
2008,Illinois,8393247,bachelor's degree or higher,1185424,2295552,2404577,2507694
2017,New Jersey,6234538,bachelor's degree or higher,628185,1696858,1432788,2476707
2007,Illinois,8354987,bachelor's degree or higher,1195390,2432952,2264808,2461837
2006,Illinois,8326130,bachelor's degree or higher,1245564,2405207,2269595,2405764
2016,New Jersey,6171172,bachelor's degree or higher,660676,1706073,1424621,2379802
2005,Illinois,8079881,bachelor's degree or higher,1153782,2283031,2281131,2361937
2019,Virginia,5872757,bachelor's degree or higher,584712,1387610,1575365,2325070
2019,North Carolina,7187077,bachelor's degree or higher,818924,1839042,2207926,2321185
2015,New Jersey,6166384,bachelor's degree or higher,674759,1757377,1416175,2318073
2019,Georgia,7080222,bachelor's degree or higher,856025,1939945,1982684,2301568
2014,New Jersey,6127931,bachelor's degree or higher,669926,1729723,1437014,2291268
2018,Virginia,5822007,bachelor's degree or higher,588385,1398061,1545104,2290457
2018,North Carolina,7102144,bachelor's degree or higher,834880,1802360,2198103,2266801
2018,Michigan,6869846,some college or associate's degree,612424,1972855,2252674,2031893
2017,Michigan,6819310,some college or associate's degree,619966,1969839,2243941,1985564
2017,Virginia,5779221,bachelor's degree or higher,593377,1396487,1552141,2237216
2013,New Jersey,6086705,bachelor's degree or higher,699065,1751336,1410435,2225869
2016,Michigan,6760402,some college or associate's degree,647909,1978343,2224320,1909830
2018,Georgia,6978172,bachelor's degree or higher,866099,1942122,1945918,2224033
2019,Michigan,6894627,some college or associate's degree,596287,2005981,2221564,2070795
2015,Michigan,6728347,some college or associate's degree,662900,1979472,2215502,1870473
2014,Michigan,6680525,some college or associate's degree,677590,1980847,2194749,1827339
2012,New Jersey,6049352,bachelor's degree or higher,709751,1737574,1409844,2192183
2017,North Carolina,6991185,bachelor's degree or higher,853789,1800555,2146162,2190679
2013,Michigan,6645295,some college or associate's degree,702639,1971925,2183344,1787387
2019,Massachusetts,4850576,bachelor's degree or higher,420941,1158066,1089826,2181743
2016,Virginia,5721173,bachelor's degree or higher,614314,1372836,1555338,2178685
2012,Michigan,6621018,some college or associate's degree,715558,2024195,2157862,1723403
2006,Michigan,6638666,high school graduate (includes equivalency),848597,2157157,2007450,1625462
2007,Michigan,6647129,high school graduate (includes equivalency),834532,2154359,2014786,1643452
2018,Massachusetts,4832728,bachelor's degree or higher,446304,1126183,1108231,2152010
2010,Michigan,6569801,some college or associate's degree,741122,2032219,2141279,1655181
2009,Michigan,6624875,some college or associate's degree,801232,2057412,2137405,1628826
2016,North Carolina,6877185,some college or associate's degree,873197,1775886,2136997,2091105
2008,Michigan,6627768,some college or associate's degree,788503,2064234,2134858,1640173
2011,Michigan,6588324,some college or associate's degree,737996,2028204,2133855,1688269
2017,Georgia,6896026,bachelor's degree or higher,893436,1936501,1934611,2131478
2011,New Jersey,6004613,bachelor's degree or higher,712632,1767217,1405861,2118903
2010,New Jersey,5970904,bachelor's degree or higher,713734,1761246,1382608,2113316
2015,Virginia,5685318,bachelor's degree or higher,629761,1399157,1554356,2102044
2017,Massachusetts,4788573,bachelor's degree or higher,442458,1163526,1103918,2078671
2015,North Carolina,6762644,some college or associate's degree,909419,1785510,2076658,1991057
2014,North Carolina,6661937,some college or associate's degree,902726,1772285,2074362,1912564
2014,Virginia,5623295,bachelor's degree or higher,644989,1382376,1529591,2066339
2016,Georgia,6785395,bachelor's degree or higher,922626,1884080,1912413,2066276
2009,New Jersey,5905302,bachelor's degree or higher,743210,1734474,1390137,2037481
2005,Michigan,6454327,high school graduate (includes equivalency),837182,2026459,1999180,1591506
2013,North Carolina,6568110,some college or associate's degree,938603,1743595,2020923,1864989
2016,Massachusetts,4727515,bachelor's degree or higher,452685,1156496,1097988,2020346
2008,New Jersey,5864395,bachelor's degree or higher,740588,1727649,1378534,2017624
2013,Virginia,5561224,bachelor's degree or higher,646424,1380486,1523979,2010335
2015,Georgia,6683767,bachelor's degree or higher,925736,1879302,1878616,2000113
2012,North Carolina,6489883,some college or associate's degree,962451,1760704,1990870,1775858
2007,New Jersey,5850926,bachelor's degree or higher,759696,1822803,1287211,1981216
2006,New Jersey,5871240,bachelor's degree or higher,818176,1785750,1303600,1963714
2019,Washington,5290324,bachelor's degree or higher,440074,1167347,1727271,1955632
2011,North Carolina,6399357,some college or associate's degree,976638,1745251,1954994,1722474
2015,Massachusetts,4706644,bachelor's degree or higher,459349,1184423,1111183,1951689
2012,Virginia,5504766,bachelor's degree or higher,666208,1392291,1494763,1951504
2005,New Jersey,5666759,bachelor's degree or higher,778992,1670430,1277143,1940194
2010,North Carolina,6325621,some college or associate's degree,964827,1749642,1937833,1673319
2014,Massachusetts,4654351,bachelor's degree or higher,479847,1161032,1096743,1916729
2018,Washington,5215063,bachelor's degree or higher,437484,1133822,1730653,1913104
2014,Georgia,6576408,bachelor's degree or higher,943888,1869967,1851953,1910600
2011,Virginia,5418844,bachelor's degree or higher,658888,1388613,1467849,1903494
2009,North Carolina,6150247,some college or associate's degree,963724,1678361,1875589,1632573
2013,Massachusetts,4604795,bachelor's degree or higher,465085,1190870,1093464,1855376
2007,Georgia,6074860,high school graduate (includes equivalency),1038940,1852511,1538713,1644696
2013,Georgia,6472172,high school graduate (includes equivalency),939819,1850063,1849171,1833119
2011,Georgia,6308961,high school graduate (includes equivalency),989332,1849141,1731523,1738965
2010,Virginia,5361301,bachelor's degree or higher,721676,1363946,1440061,1835618
2012,Georgia,6403838,some college or associate's degree,960025,1810866,1825672,1807275
2010,Georgia,6235623,high school graduate (includes equivalency),979559,1824976,1729330,1701758
2008,North Carolina,6085315,some college or associate's degree,996140,1680882,1822212,1586081
2008,Georgia,6191871,high school graduate (includes equivalency),996599,1817100,1675706,1702466
2006,Georgia,5968250,high school graduate (includes equivalency),1063078,1811581,1506966,1586625
2017,Washington,5101968,bachelor's degree or higher,443963,1128284,1718602,1811119
2009,Georgia,6230326,high school graduate (includes equivalency),1001937,1799352,1712992,1716045
2012,Massachusetts,4556609,bachelor's degree or higher,471324,1181922,1113418,1789945
2009,Virginia,5207987,bachelor's degree or higher,697914,1324689,1415127,1770257
2007,North Carolina,5959907,high school graduate (includes equivalency),1013687,1766873,1652259,1527088
2011,Massachusetts,4502048,bachelor's degree or higher,485372,1165691,1088475,1762510
2016,Washington,4996555,bachelor's degree or higher,458837,1111786,1670222,1755710
2006,North Carolina,5845235,high school graduate (includes equivalency),1051206,1738948,1604003,1451078
2010,Massachusetts,4458898,bachelor's degree or higher,485401,1168464,1066134,1738899
2008,Virginia,5155750,bachelor's degree or higher,725276,1298100,1395392,1736982
2009,Massachusetts,4490445,bachelor's degree or higher,495310,1181095,1097462,1716578
2007,Virginia,5104681,bachelor's degree or higher,722008,1390436,1278990,1713247
2019,Maryland,4183858,bachelor's degree or higher,402152,1030636,1040840,1710230
2018,Maryland,4167339,bachelor's degree or higher,396131,1009495,1061018,1700695
2019,Colorado,3974943,bachelor's degree or higher,302220,836590,1140531,1695602
2008,Massachusetts,4397927,bachelor's degree or higher,496627,1172132,1053901,1675267
2015,Washington,4889314,bachelor's degree or higher,448231,1127649,1642541,1670893
2005,Georgia,5632169,high school graduate (includes equivalency),970452,1669685,1463170,1528862
2019,Arizona,4944540,some college or associate's degree,612998,1170685,1668699,1492158
2006,Virginia,5068993,bachelor's degree or higher,742066,1376944,1290027,1659956
2007,Massachusetts,4369419,bachelor's degree or higher,507205,1214179,992067,1655968
2017,Maryland,4167604,bachelor's degree or higher,420009,1020828,1074187,1652580
2014,Washington,4784484,some college or associate's degree,458561,1090724,1650423,1584776
2005,North Carolina,5568889,high school graduate (includes equivalency),984958,1638855,1545514,1399562
2018,Arizona,4840304,some college or associate's degree,605934,1159297,1636580,1438493
2012,Washington,4645859,some college or associate's degree,446094,1101227,1627023,1471515
2018,Colorado,3900287,bachelor's degree or higher,317116,812615,1145007,1625549
2016,Maryland,4122508,bachelor's degree or higher,407229,1046470,1047680,1621129
2005,Virginia,4866265,bachelor's degree or higher,711070,1297610,1242581,1615004
2006,Massachusetts,4345561,bachelor's degree or higher,524443,1226480,985890,1608748
2013,Washington,4706104,some college or associate's degree,463597,1095589,1606450,1540468
2015,Maryland,4102486,bachelor's degree or higher,425666,1029325,1055881,1591614
2017,Arizona,4711362,some college or associate's degree,604898,1136493,1586879,1383092
2011,Washington,4583426,some college or associate's degree,451804,1092508,1578110,1461004
2017,Colorado,3822068,bachelor's degree or higher,319636,815595,1112140,1574697
2010,Washington,4505657,some college or associate's degree,459292,1072578,1574549,1399238
2016,Arizona,4626409,some college or associate's degree,614439,1105497,1570579,1335894
2005,Massachusetts,4243260,bachelor's degree or higher,509374,1164066,1005662,1564158
2014,Maryland,4062813,bachelor's degree or higher,422614,1043926,1042589,1553684
2008,Washington,4387893,some college or associate's degree,454633,1041543,1544633,1347084
2007,Indiana,4143519,high school graduate (includes equivalency),590236,1542222,1096590,914471
2009,Washington,4445351,some college or associate's degree,458898,1067506,1539219,1379728
2015,Arizona,4536954,some college or associate's degree,630973,1110871,1537661,1257449
2019,Indiana,4502015,high school graduate (includes equivalency),468083,1526825,1294281,1212826
2010,Indiana,4229798,high school graduate (includes equivalency),548278,1521860,1200547,959113
2006,Indiana,4110754,high school graduate (includes equivalency),608494,1521427,1089344,891489
2014,Arizona,4436226,some college or associate's degree,618786,1079812,1515336,1222292
2012,Indiana,4278945,high school graduate (includes equivalency),532518,1510802,1233516,1002109
2011,Indiana,4255459,high school graduate (includes equivalency),541807,1509773,1224663,979216
2013,Maryland,4018701,bachelor's degree or higher,436072,1030851,1047973,1503805
2015,Indiana,4363573,high school graduate (includes equivalency),514136,1496775,1264542,1088120
2016,Colorado,3745506,bachelor's degree or higher,320586,822144,1109895,1492881
2017,Tennessee,4588453,high school graduate (includes equivalency),559884,1488080,1286327,1254162
2014,Indiana,4342916,high school graduate (includes equivalency),501670,1488013,1282631,1070602
2009,Indiana,4193210,high school graduate (includes equivalency),560938,1487584,1200368,944320
2015,Tennessee,4473487,high school graduate (includes equivalency),623805,1482137,1216465,1151080
2016,Indiana,4392576,high school graduate (includes equivalency),511499,1481882,1274349,1124846
2019,Tennessee,4693962,high school graduate (includes equivalency),562817,1480753,1302168,1348224
2018,Indiana,4467893,high school graduate (includes equivalency),491834,1480040,1284953,1211066
2013,Indiana,4312892,high school graduate (includes equivalency),536046,1478163,1271464,1027219
2018,Tennessee,4640823,high school graduate (includes equivalency),564949,1477132,1323317,1275425
2014,Tennessee,4425073,high school graduate (includes equivalency),628991,1473547,1204228,1118307
2005,Indiana,3956723,high school graduate (includes equivalency),580667,1468342,1066838,840876
2012,Maryland,3972135,bachelor's degree or higher,433833,1035053,1036262,1466987
2008,Indiana,4177420,high school graduate (includes equivalency),574735,1466600,1179714,956371
2016,Tennessee,4527198,high school graduate (includes equivalency),590313,1465937,1288093,1182855
2013,Arizona,4344737,some college or associate's degree,612204,1079149,1464943,1188441
