year,state,total,male 4 and under,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 4 and under,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2008,Alabama,199230,579,3115,6342,48555,25326,33535,239,3452,5603,23670,12899,35915
2008,Alaska,29166,136,265,1404,10828,3355,3710,31,349,744,4003,1825,2516
2008,Arizona,236638,1821,3706,9015,41728,25769,54910,786,4630,5336,25556,14451,48930
2008,Arkansas,130464,617,3083,4141,32755,15246,22631,754,2069,2247,15130,8157,23634
2008,California,1038126,5585,20531,39085,190216,108756,207442,4757,19652,25621,118562,71224,226695
2008,Colorado,156410,845,2501,8222,40239,16905,25888,883,1879,3543,17250,9424,28831
2008,Connecticut,100994,583,1948,2574,18204,10330,20799,349,1988,1958,12295,6061,23905
2008,Delaware,29915,196,182,1339,4907,4245,5436,123,1133,786,3301,1956,6311
2008,Florida,682304,2988,10592,14949,110723,79928,169801,1805,6486,12255,61385,41803,169589
2008,Georgia,288922,3589,6691,10664,65042,32565,39812,1717,5756,6526,40974,21730,53856
2008,Hawaii,45334,559,576,656,7689,5013,10988,272,391,490,4577,2236,11887
2008,Idaho,62464,1081,1158,1743,14524,10656,11212,283,811,789,6115,3716,10376
2008,Illinois,369403,2332,8681,10162,73202,42561,67142,1317,7147,9496,42538,23028,81797
2008,Indiana,234187,1449,4916,8043,54811,26236,38917,1313,3901,5481,31343,15740,42037
2008,Iowa,115008,263,2005,3393,27465,13698,22625,389,1574,1674,12217,6926,22779
2008,Kansas,108080,975,1711,4433,25026,12768,18289,147,2616,2516,11967,6476,21156
2008,Kentucky,204309,528,4191,6525,52908,26046,30531,763,4157,5580,26829,12683,33568
2008,Louisiana,165909,678,2928,5846,39942,21174,27450,94,3245,4461,22108,11404,26579
2008,Maine,66455,433,648,1792,15868,8274,11063,299,808,3054,7689,4277,12250
2008,Maryland,151669,962,2425,7000,33692,14044,26964,335,2444,4554,19575,7962,31712
2008,Massachusetts,200217,806,4685,6294,37289,18565,36454,248,3995,4689,26431,13037,47724
2008,Michigan,360505,1803,7748,9829,78526,43172,64245,880,5726,8691,46407,22203,71275
2008,Minnesota,163645,776,3006,5409,35692,21597,30650,1386,2218,4375,19855,9076,29605
2008,Mississippi,129853,677,2551,4312,32106,15320,16362,790,2010,4605,18479,8772,23869
2008,Missouri,236626,672,4701,8685,55504,32200,40690,927,2419,5848,30073,14450,40457
2008,Montana,43444,24,363,1627,10188,6954,9308,52,551,1030,3626,2045,7676
2008,Nebraska,64486,81,1595,2005,16171,7351,13770,321,1035,1225,5078,3585,12269
2008,Nevada,77377,242,1720,3958,17207,10198,14301,0,1103,1798,10250,3962,12638
2008,New Hampshire,47133,287,1215,2042,11455,5410,8172,28,746,545,5761,3277,8195
2008,New Jersey,231653,2407,6233,6168,39861,22422,42796,1046,2852,6092,28973,16460,56343
2008,New Mexico,90852,846,1923,2563,20415,12022,16417,754,1309,2190,10641,5553,16219
2008,New York,541449,3113,10424,17377,94567,51202,103832,2135,7353,13332,64058,34152,139904
2008,North Carolina,326390,2524,3755,12248,73605,40792,52789,1225,4351,10057,40085,23356,61603
2008,North Dakota,25521,72,79,1430,6280,2790,5850,0,24,170,2787,768,5271
2008,Ohio,415750,1800,7798,13559,88535,48653,72744,1647,5320,10313,53394,24944,87043
2008,Oklahoma,181173,1508,3481,8481,46389,23874,27142,415,2175,4678,22753,11747,28530
2008,Oregon,160899,1149,2331,6075,37548,18477,31828,773,2202,5276,17357,8604,29279
2008,Pennsylvania,458605,1910,6837,15153,94763,56448,86608,1109,6080,10059,49310,28234,102094
2008,Rhode Island,34896,235,1143,1339,6417,3065,7730,55,331,934,3811,1975,7861
2008,South Carolina,163367,202,1608,4140,37765,21361,28584,174,2049,1681,22305,12316,31182
2008,South Dakota,30079,105,297,945,6583,3657,6176,0,243,1055,3193,1962,5863
2008,Tennessee,260794,2981,4778,7531,64335,32440,40421,677,3775,5751,31717,16795,49593
2008,Texas,810485,5666,20774,32365,189939,96219,131636,3408,14471,24836,104900,50303,135968
2008,Utah,73850,306,1385,3495,15932,10507,15145,248,1728,1955,8122,3660,11367
2008,Vermont,27412,94,675,523,6535,3932,4757,41,349,492,2926,1517,5571
2008,Virginia,219104,1513,5470,6301,44479,25899,36750,469,3423,5667,27375,16289,45469
2008,Washington,249564,1087,3290,8612,60945,32719,44010,652,3443,6548,28338,14407,45513
2008,West Virginia,108193,328,1332,3311,30394,13875,15954,472,1066,1980,13560,6566,19355
2008,Wisconsin,179488,1225,2508,5714,41202,22284,34356,647,2488,4963,18190,10702,35209
2008,Wyoming,22353,0,366,1059,6350,3666,3937,112,214,460,2357,647,3185
2009,Alabama,200825,374,4056,6520,45489,28528,31490,588,2433,5373,26623,14741,34610
2009,Alaska,27368,111,464,1926,8282,3930,2758,154,531,687,3738,1415,3372
2009,Arizona,225576,852,5391,6616,39013,28474,51358,1389,3670,4971,24806,13952,45084
2009,Arkansas,136499,932,1937,6005,32841,17950,23604,915,1512,3507,14256,8987,24053
2009,California,1024671,7950,22581,36984,180325,110013,199797,5025,17973,28016,120776,70379,224852
2009,Colorado,155916,927,3306,4614,36425,19322,26727,674,2394,3810,18923,9005,29789
2009,Connecticut,97091,443,2536,3230,17324,9633,18206,227,1607,2257,11409,7253,22966
2009,Delaware,32253,103,457,1797,6233,3684,6516,192,510,692,4341,1797,5931
2009,Florida,683824,2724,10451,16545,110896,79118,170125,1822,7722,13463,61572,44658,164728
2009,Georgia,283273,3587,7195,8905,64118,34164,42014,1176,3416,8908,39020,20292,50478
2009,Hawaii,45119,178,359,1028,8488,4734,11088,0,304,321,4518,3023,11078
2009,Idaho,62266,424,675,1995,16701,9806,12139,327,671,1466,5137,3157,9768
2009,Illinois,350685,2280,6654,8620,66078,42642,62190,1987,5442,8667,39382,22913,83830
2009,Indiana,230770,1442,3787,8206,50853,31069,40697,539,3102,4466,27381,15849,43379
2009,Iowa,106184,156,1870,2498,23256,14631,21934,504,1167,2449,11593,5274,20852
2009,Kansas,104244,653,3417,2511,24547,11663,19005,479,1474,3613,11696,5829,19357
2009,Kentucky,198889,1184,4969,6269,48052,25529,31366,732,2811,5614,25546,15215,31602
2009,Louisiana,161555,496,3971,6317,37748,19954,24687,987,3396,4411,22455,11109,26024
2009,Maine,66640,469,963,1755,16170,8869,11720,313,689,1619,7386,3948,12739
2009,Maryland,145361,778,3740,4201,29944,14735,24676,1228,2923,4777,18184,10052,30123
2009,Massachusetts,194081,1345,4764,5777,35413,21270,36227,900,3950,3831,21703,12249,46652
2009,Michigan,358348,1636,6451,8502,75305,45087,63500,1136,4667,8717,45831,23870,73646
2009,Minnesota,165210,644,2352,7909,37726,21556,30333,783,2661,3844,16477,7833,33092
2009,Mississippi,117613,454,2262,4746,25553,15569,20073,0,2466,2923,13432,8695,21440
2009,Missouri,235988,1100,5227,7755,56111,30503,40377,442,3235,5158,27786,15275,43019
2009,Montana,48319,32,734,1595,12559,8496,9059,0,1017,735,3840,1887,8365
2009,Nebraska,64771,319,631,2083,15701,8368,12696,259,577,1166,6705,4138,12128
2009,Nevada,76051,405,1343,2685,14241,9787,14926,54,1709,2141,10802,5251,12707
2009,New Hampshire,47795,190,522,962,8992,7021,9861,101,700,706,5400,2753,10587
2009,New Jersey,225776,1983,4838,5973,35165,22778,42932,1049,3433,7078,29524,15360,55663
2009,New Mexico,92523,1247,1861,2865,21282,12096,17507,481,1187,2441,8580,6557,16419
2009,New York,528504,3120,8549,16681,97913,53389,95800,2679,6984,11393,66932,32962,132102
2009,North Carolina,329750,2825,5019,12228,69509,44043,52856,1090,5186,9789,41648,24380,61177
2009,North Dakota,26022,197,625,1048,6144,3553,5255,49,169,341,2286,1145,5210
2009,Ohio,410490,2269,6870,14903,86914,49150,68654,1579,6956,11644,52181,26604,82766
2009,Oklahoma,167463,1106,2332,5380,44702,22450,26023,640,2398,4148,20667,9713,27904
2009,Oregon,163447,1464,2808,5331,37216,20602,31804,753,1444,2809,17331,8945,32940
2009,Pennsylvania,450416,1610,7602,14276,90331,52985,86453,1197,6969,9360,46454,27348,105831
2009,Rhode Island,35875,102,667,1547,6370,4071,6395,179,568,669,4200,2462,8645
2009,South Carolina,158336,356,2497,5446,35512,21173,27637,376,1913,2829,19302,10392,30903
2009,South Dakota,29421,93,362,1464,6549,3787,6984,35,315,473,2671,1257,5431
2009,Tennessee,256680,770,3993,7697,59372,33292,38707,827,3220,7444,40719,16571,44068
2009,Texas,788770,7101,21547,33108,165120,97023,127946,5134,16079,23939,98637,51706,141430
2009,Utah,78990,634,1824,3846,16529,9965,13648,795,1621,2885,9958,4883,12402
2009,Vermont,26925,183,278,658,7203,3032,4941,139,413,584,3026,1656,4812
2009,Virginia,228990,771,2879,7628,48913,29428,41395,677,3275,4568,28008,16645,44803
2009,Washington,254619,2250,3504,9606,60743,35511,47228,775,3557,5905,25098,13530,46912
2009,West Virginia,98725,95,1344,2780,28364,11872,17238,0,673,2074,11611,6255,16419
2009,Wisconsin,180281,1244,3266,5397,40087,22127,34367,687,2135,3859,19496,9768,37848
2009,Wyoming,22919,132,310,1084,6788,3133,3848,33,305,414,2859,1349,2664
2010,Alabama,206126,1859,2789,6492,47058,26506,33945,267,2882,4417,30061,15771,34079
2010,Alaska,27576,248,930,367,9151,3936,2339,76,598,1305,4491,1788,2347
2010,Arizona,208594,958,3780,3980,41862,28200,43295,1079,3562,3364,22705,13245,42564
2010,Arkansas,132185,712,2528,3952,30695,20067,22278,326,2021,2765,15914,8272,22655
2010,California,1017075,7862,20813,31392,186348,113051,209128,5967,16803,23024,109954,64809,227924
2010,Colorado,175348,969,3233,6173,42860,20747,30883,616,3309,4270,22433,8944,30911
2010,Connecticut,103375,88,2079,2031,17849,9833,21327,0,1398,1743,10459,8291,28277
2010,Delaware,27043,228,435,1276,5677,2374,5281,409,191,135,3468,1393,6176
2010,Florida,670661,3055,8461,15155,111558,81808,156875,2693,9059,11914,62059,42900,165124
2010,Georgia,282327,1648,7232,6984,63403,35711,40844,1761,4967,7537,41107,20461,50672
2010,Hawaii,46866,200,1206,1420,8886,5045,11330,307,669,894,3873,2967,10069
2010,Idaho,66661,911,1328,2505,15204,10229,12762,186,1151,1483,6577,4164,10161
2010,Illinois,346472,2886,5258,8457,62999,40981,68192,2024,6192,8476,39487,19640,81880
2010,Indiana,233836,987,4718,7011,55861,28596,42724,1046,2202,4445,29984,15328,40934
2010,Iowa,107824,498,1566,3433,26337,13134,21825,535,1496,1794,10541,5594,21071
2010,Kansas,107507,808,1863,4405,25327,13472,20000,339,1769,4175,10719,5918,18712
2010,Kentucky,189091,1147,2340,6147,50763,24759,29691,794,1878,4383,27035,10697,29457
2010,Louisiana,172454,524,4815,5959,40161,19733,28743,1284,4366,3503,22584,12534,28248
2010,Maine,61404,478,895,1429,13282,8531,11422,397,780,1157,6696,3263,13074
2010,Maryland,151965,1544,3386,5854,28273,15322,27606,1045,2607,4283,19282,10758,32005
2010,Massachusetts,194688,704,3122,5164,32054,20770,37669,799,2719,5730,24144,12118,49695
2010,Michigan,363701,1407,6410,10303,75558,47446,65603,903,6118,9008,46464,20913,73568
2010,Minnesota,172205,905,3483,5746,40076,21854,35010,776,2375,3517,16904,9436,32123
2010,Mississippi,115872,421,2811,4188,29235,14111,17856,297,1956,2481,15320,9450,17746
2010,Missouri,230686,927,3923,6075,52536,30570,43522,1082,3543,4815,27378,12971,43344
2010,Montana,48327,175,654,839,10729,7671,10402,0,846,364,5289,2759,8599
2010,Nebraska,71045,274,1458,2855,15629,8920,14683,297,633,1491,6708,3558,14539
2010,Nevada,86724,240,1825,3462,21413,13552,15340,697,694,1600,10210,5192,12499
2010,New Hampshire,44456,89,602,1126,9827,5913,8986,112,424,1152,4788,2342,9095
2010,New Jersey,219553,1437,4384,6269,35063,22480,42365,911,3051,4329,23682,16615,58967
2010,New Mexico,91575,546,1578,3157,19124,13205,16492,387,1341,2194,10686,6648,16217
2010,New York,501306,2971,10042,17121,84806,48407,94608,1920,6557,12662,59493,37945,124774
2010,North Carolina,337585,2651,4245,9103,76622,43121,56159,1763,3914,8969,40748,23579,66711
2010,North Dakota,25524,0,513,1167,5537,3504,5475,88,244,434,2089,1498,4975
2010,Ohio,398459,2339,8979,10163,85634,47228,70494,1049,6178,10367,45625,27129,83274
2010,Oklahoma,176019,886,1882,7017,47974,25048,30204,527,2043,2846,21510,10563,25519
2010,Oregon,178709,1612,2650,6840,41161,25068,30342,1053,1747,5568,22879,9898,29891
2010,Pennsylvania,453691,1784,6029,11092,92461,55543,87326,1578,6381,10277,49424,28977,102819
2010,Rhode Island,35673,72,1053,1322,7405,2914,6813,795,459,636,3219,2301,8684
2010,South Carolina,165820,644,2380,6720,36774,22112,27931,715,1809,3601,22607,11439,29088
2010,South Dakota,32130,0,256,821,6624,4315,7502,0,304,930,2972,1640,6766
2010,Tennessee,256248,1058,4068,8679,62013,34849,40012,1538,3003,5081,30346,16988,48613
2010,Texas,820833,4922,20638,30545,188355,107176,135921,4015,15530,23542,104359,55283,130547
2010,Utah,73872,744,1398,2965,15248,9291,14725,732,1204,2119,7651,4782,13013
2010,Vermont,25777,15,595,577,7191,2962,4663,0,262,746,2253,1484,5029
2010,Virginia,233925,602,2724,6142,52103,30106,39369,957,3198,5277,29232,16705,47510
2010,Washington,259743,1921,3979,8517,58288,35137,46594,1592,3090,6255,32922,16844,44604
2010,West Virginia,106868,49,1426,3164,29348,14495,17768,210,1144,2181,13091,6289,17703
2010,Wisconsin,179378,769,3012,5006,39066,23127,37315,625,3046,3857,17466,9208,36881
2010,Wyoming,24165,75,287,757,6544,3654,4338,0,153,579,2803,1332,3643
2011,Alabama,203451,525,3826,6727,47147,26087,34783,578,1851,4304,27405,13704,36514
2011,Alaska,27045,127,181,789,8522,4711,3486,39,380,556,3677,1830,2747
2011,Arizona,231036,686,4734,8844,40784,28288,49643,2489,3118,6181,27597,15472,43200
2011,Arkansas,143985,1228,2835,5881,31732,22987,22883,337,2541,3939,17731,9236,22655
2011,California,1031403,7069,20852,35768,184913,114429,215633,7938,14201,23755,115600,64090,227155
2011,Colorado,164921,969,2849,4553,38529,21433,29811,909,3358,4248,18732,9894,29636
2011,Connecticut,103597,947,2984,2744,16041,10949,21528,216,1056,1766,12080,6370,26916
2011,Delaware,28210,144,1154,469,4091,4315,4640,209,967,1378,3678,2197,4968
2011,Florida,686564,1890,9937,14923,110261,89895,169425,2065,5877,11806,62761,46178,161546
2011,Georgia,299967,3154,6515,12160,65697,36877,41601,2598,5830,9270,39572,22711,53982
2011,Hawaii,47134,117,1483,1476,8216,5345,10296,359,86,746,4643,2872,11495
2011,Idaho,65061,458,1361,2603,14613,10574,13262,55,470,1090,6649,3194,10732
2011,Illinois,343622,3102,6570,11831,62816,39335,68190,1598,5313,7514,39319,22331,75703
2011,Indiana,237242,582,4020,7842,51221,30917,39963,1528,3576,5600,33042,15549,43402
2011,Iowa,109240,484,1340,3510,21673,13493,22995,185,1700,2509,12522,5474,23355
2011,Kansas,109929,236,2239,3864,26456,13491,20099,696,1034,3478,11967,6953,19416
2011,Kentucky,194852,808,2654,6543,51048,27462,29822,596,2600,4283,25586,12383,31067
2011,Louisiana,190064,1818,4302,8341,46569,24577,27123,1049,2921,5156,25815,12953,29440
2011,Maine,63703,302,705,2249,13414,9835,12040,207,703,1332,6754,3973,12189
2011,Maryland,147848,2218,1758,4758,27837,16487,25954,1420,1762,4615,19196,10805,31038
2011,Massachusetts,199948,1107,4279,5506,34007,21635,39230,492,4300,4532,24068,14149,46643
2011,Michigan,369662,2587,6824,13196,76897,48762,66236,917,4523,10201,43119,23453,72947
2011,Minnesota,173201,1036,2566,5213,37849,24977,35002,470,2780,3559,18841,8955,31953
2011,Mississippi,119043,963,2499,3947,27858,17351,17857,324,920,3324,13995,9381,20624
2011,Missouri,237311,1872,3318,7944,56931,30769,43350,1065,2653,6723,27016,14500,41170
2011,Montana,51958,344,648,2421,12070,7621,10569,495,1016,729,5124,3020,7901
2011,Nebraska,66584,396,888,2309,14567,9088,14379,170,1380,917,7060,3791,11639
2011,Nevada,94161,877,2652,2377,20618,13410,16084,1046,1136,3665,12968,5553,13775
2011,New Hampshire,50342,332,888,1265,11088,6589,9180,0,323,1338,5609,3164,10566
2011,New Jersey,222567,1370,2918,6306,32984,21807,44921,996,3459,3968,24844,16727,62267
2011,New Mexico,90816,425,1722,4402,18879,12265,16832,614,1180,2270,9139,6224,16864
2011,New York,506025,3130,10190,15522,91344,50073,94652,2360,8138,13553,58608,34505,123950
2011,North Carolina,328831,1427,4395,12233,67005,43326,56920,1371,5338,6897,43216,21733,64970
2011,North Dakota,24133,36,47,384,6426,3420,6017,42,293,95,2134,1164,4075
2011,Ohio,415915,2801,8072,10219,87674,51218,73794,1838,5766,10668,51807,28531,83527
2011,Oklahoma,182801,1376,3492,7765,47402,26222,30237,445,2169,5756,19769,11252,26916
2011,Oregon,171094,910,2846,4773,38174,25075,31109,484,1530,5689,19090,9831,31583
2011,Pennsylvania,467269,2675,7272,13629,86277,56967,92904,1695,6542,9907,52570,30021,106810
2011,Rhode Island,34021,157,333,1194,6136,3048,7801,163,309,897,3731,2476,7776
2011,South Carolina,160986,675,1380,5588,34822,23070,27646,673,1746,3862,22709,11100,27715
2011,South Dakota,32710,196,270,1674,7794,4007,6685,182,189,872,2441,1516,6884
2011,Tennessee,264146,1384,4187,7013,64326,35446,40377,1354,4346,5844,34662,19596,45611
2011,Texas,839036,5995,19952,32387,193004,107148,136370,5313,13142,24310,106879,54461,140075
2011,Utah,79448,675,1631,4396,17950,10636,14291,589,1909,2350,7472,4215,13334
2011,Vermont,25992,445,133,316,5996,3428,4840,0,695,772,2925,1661,4781
2011,Virginia,233502,1749,3412,5473,49374,32422,39784,665,3112,4635,27748,16888,48240
2011,Washington,261657,2130,5149,9027,57732,34961,49740,978,4505,5831,31182,13683,46739
2011,West Virginia,105573,120,1607,3652,27091,15928,16246,563,1539,1974,12177,7470,17206
