year,state,total,predominant,utility_gas,electricity,fuel_oil_kerosene,bottled_tank_lp_gas,wood,solar_energy,coal_coke,other,none
2018,Arkansas,1156347,electricity,427676,598185,1607,82510,39943,399,0,2762,3265
2017,Arkansas,1153082,electricity,440170,591893,1380,75397,38367,270,0,3151,2454
2011,Mississippi,1080991,electricity,330395,591471,1796,136201,17645,34,88,1411,1950
2006,Nevada,936828,utility gas,589955,286793,9580,36270,8726,312,0,3780,1412
2019,Arkansas,1163647,electricity,450216,588621,638,78170,39897,385,67,2375,3278
2013,Connecticut,1339860,"fuel oil, kerosene, etc.",449787,209463,585757,46397,29361,401,2501,10236,5957
2014,Connecticut,1355817,"fuel oil, kerosene, etc.",464748,212031,576948,49540,34478,554,2087,11670,3761
2016,Arkansas,1142718,electricity,443158,575287,1155,75539,41774,56,0,3194,2555
2015,Arkansas,1144663,electricity,449516,565461,469,76481,45025,254,105,3821,3531
2010,Mississippi,1079999,electricity,347171,564029,1863,146694,17256,37,0,933,2016
2017,Connecticut,1356762,"fuel oil, kerosene, etc.",478136,219208,562247,55608,24510,1029,1523,10257,4244
2015,Connecticut,1343703,"fuel oil, kerosene, etc.",471195,214414,561996,51915,29530,937,1493,8159,4064
2009,Mississippi,1095026,electricity,357279,561530,1713,152842,18354,0,14,1161,2133
2016,Connecticut,1357269,"fuel oil, kerosene, etc.",476852,230532,554283,55631,23580,900,1538,9232,4721
2018,Connecticut,1378091,"fuel oil, kerosene, etc.",497422,232420,549036,60526,22954,1579,943,8782,4429
2005,Nevada,906719,utility gas,546125,296087,10848,38621,8918,148,13,3763,2196
2012,Arkansas,1143859,electricity,457689,545241,1360,83916,50355,270,9,3305,1714
2008,Mississippi,1094208,electricity,366817,542341,1409,161123,18624,94,0,1791,2009
2014,Arkansas,1131288,electricity,454488,540491,1217,81113,46313,400,28,4524,2714
2013,Arkansas,1125899,electricity,453891,536242,1491,79497,48006,0,0,3889,2883
2019,Connecticut,1377166,"fuel oil, kerosene, etc.",500471,237614,535420,66974,22304,852,467,8355,4709
2010,New Mexico,765183,utility gas,520740,110797,1008,74284,50925,2288,234,4052,855
2011,Arkansas,1127621,electricity,464547,519261,1074,86611,51152,250,259,2484,1983
2011,New Mexico,767285,utility gas,519168,118622,651,68149,49063,2243,510,7559,1320
2012,New Mexico,764996,utility gas,514107,123471,780,60107,54216,2578,283,8257,1197
2008,New Mexico,741399,utility gas,510636,101252,863,77658,43542,1239,854,4216,1139
2007,Mississippi,1080039,electricity,370252,509161,2307,174735,19837,70,196,990,2491
2015,New Mexico,761797,utility gas,507367,134640,692,60267,46945,2575,315,7417,1579
2014,New Mexico,760916,utility gas,506959,126923,1106,59610,54261,2108,182,8016,1751
2010,Arkansas,1114902,electricity,457999,505009,1649,95090,49607,116,0,3065,2367
2013,New Mexico,753507,utility gas,503091,127124,1230,61554,49712,971,164,7813,1848
2006,Arkansas,1103428,utility gas,502465,427878,1767,115964,50685,215,55,2462,1937
2018,New Mexico,794093,utility gas,501370,165963,1081,57254,53840,3081,338,7711,3455
2009,New Mexico,742104,utility gas,500125,112317,1355,75176,45183,2629,140,3619,1560
2009,Arkansas,1124947,electricity,470630,499506,2159,97073,49756,173,93,3968,1589
2005,Mississippi,1084034,electricity,375908,499114,2944,183407,17185,322,130,2789,2235
2005,Arkansas,1087542,utility gas,498494,410227,2781,124530,46707,170,0,2768,1865
2016,New Mexico,758364,utility gas,497976,138982,1236,54610,51892,3260,628,7052,2728
2007,New Mexico,734847,utility gas,496866,100789,790,78496,48606,2565,968,4725,1042
2017,New Mexico,767705,utility gas,494471,158057,1105,51066,49638,3019,397,7689,2263
2007,Arkansas,1102734,utility gas,493559,448655,2233,106396,46858,173,182,3034,1644
2006,New Mexico,726033,utility gas,492787,96306,884,82066,42608,2885,507,6406,1584
2008,Arkansas,1114041,utility gas,490166,467116,1663,98780,52334,69,0,2433,1480
2019,New Mexico,793420,utility gas,490135,179609,1529,49317,56217,4099,833,9628,2053
2006,Mississippi,1075521,electricity,370562,487302,2045,190765,20412,64,50,1752,2569
2005,New Mexico,727820,utility gas,484937,106056,1405,83299,41163,1580,1011,7556,813
2012,Nebraska,733570,utility gas,462920,190063,3686,57442,11392,285,54,6269,1459
2007,Nebraska,699728,utility gas,462545,153299,5541,59453,10017,104,156,7007,1606
2011,Nebraska,723800,utility gas,462089,182958,4455,56743,9141,44,33,6535,1802
2008,Nebraska,704143,utility gas,460539,161447,5974,56446,12010,75,39,5996,1617
2005,Nebraska,695592,utility gas,460350,146832,7058,65561,8401,20,107,5822,1441
2018,Nebraska,765490,utility gas,460086,226898,3114,58072,8610,295,44,5144,3227
2009,Nebraska,711223,utility gas,457744,175511,4137,55611,9930,128,49,6746,1367
2006,Nebraska,700888,utility gas,456973,154829,6860,63322,10281,91,135,6230,2167
2019,Nebraska,771444,utility gas,456589,235857,3126,57234,8869,135,111,5940,3583
2010,Nebraska,719304,utility gas,455836,181557,5469,55346,11297,194,44,7090,2471
2013,Nebraska,730579,utility gas,453769,199699,2188,57576,9928,55,65,4998,2301
2017,Nebraska,754490,utility gas,445517,239512,3012,50971,7556,130,195,4409,3188
2014,Nebraska,740765,utility gas,444310,219061,3068,56850,11002,50,56,4124,2244
2015,Nebraska,744159,utility gas,440046,224922,2828,58229,9628,161,49,5190,3106
2016,Nebraska,747562,utility gas,439082,238643,2507,50453,9607,23,159,4319,2769
2005,Maine,542158,"fuel oil, kerosene, etc.",17913,26715,423407,33497,36366,230,502,2754,774
2007,Maine,543952,"fuel oil, kerosene, etc.",19181,20909,422738,34267,42318,204,1115,2238,982
2006,Maine,548247,"fuel oil, kerosene, etc.",18838,28850,421929,32156,42717,221,1157,1912,467
2008,Maine,542363,"fuel oil, kerosene, etc.",19578,24946,407480,33495,50745,77,1289,3161,1592
2009,Maine,544855,"fuel oil, kerosene, etc.",24414,25521,388831,35298,62467,393,1050,5666,1215
2010,Maine,545417,"fuel oil, kerosene, etc.",23135,27813,384021,36617,65520,446,1297,5177,1391
2011,Maine,552051,"fuel oil, kerosene, etc.",27427,24723,379409,42224,68055,307,2005,6480,1421
2012,Maine,554543,"fuel oil, kerosene, etc.",28621,23260,374110,41477,76225,635,2278,6995,942
2018,Maine,570307,"fuel oil, kerosene, etc.",44328,41759,355904,61194,54843,1169,1103,8683,1324
2013,Maine,547686,"fuel oil, kerosene, etc.",31836,28747,351842,45601,76707,486,1910,9827,730
2005,West Virginia,740702,utility gas,345151,255398,42143,45687,40837,0,6571,3736,1179
2019,Maine,573618,"fuel oil, kerosene, etc.",44750,48008,344869,69241,53927,1047,1140,8428,2208
2014,Maine,549841,"fuel oil, kerosene, etc.",37608,28040,342185,48027,78214,451,1860,11692,1764
2015,Maine,545226,"fuel oil, kerosene, etc.",37624,35138,336337,50511,70767,604,1449,11270,1526
2006,West Virginia,743064,utility gas,335065,270051,42187,39805,43806,206,7121,3840,983
2018,Idaho,640270,utility gas,334824,212296,10065,31162,44366,442,378,5177,1560
2016,Maine,531660,"fuel oil, kerosene, etc.",41879,33543,333900,52621,55290,312,985,11584,1546
2019,Idaho,655859,utility gas,333883,225718,9851,33933,43627,967,258,5472,2150
2018,West Virginia,734703,electricity,295605,332682,22321,34254,39801,174,3680,4429,1757
2017,Maine,540959,"fuel oil, kerosene, etc.",41841,36406,331541,61816,54454,1228,1301,10328,2044
2017,Idaho,625135,utility gas,329995,204963,7477,32187,43339,226,62,4756,2130
2007,West Virginia,733849,utility gas,329156,272404,37771,37608,43445,467,6718,4179,2101
2008,West Virginia,749586,utility gas,328387,299004,28599,34986,45562,153,6373,6096,426
2019,West Virginia,728175,electricity,290668,328031,19681,38333,39813,254,4091,5596,1708
2013,West Virginia,738653,electricity,299536,326536,20335,30813,49289,95,4521,5717,1811
2012,West Virginia,741544,electricity,305035,323747,24468,29530,47705,239,5330,4121,1369
2009,West Virginia,748517,utility gas,322409,303374,29721,31388,48448,432,6128,5266,1351
2014,West Virginia,735375,electricity,306187,321049,19011,32740,46300,108,3372,4829,1779
2015,West Virginia,734536,electricity,305996,319204,19805,34766,44782,152,4173,4358,1300
2016,West Virginia,722125,electricity,297134,318972,19781,33741,42897,202,4120,3804,1474
2010,West Virginia,741940,utility gas,317757,302804,28559,35512,46066,331,5609,4254,1048
2016,Idaho,610872,utility gas,317194,204797,8601,29878,41276,248,570,5754,2554
2017,West Virginia,715308,electricity,288530,316115,20958,37545,43857,179,3815,2873,1436
2011,West Virginia,735408,electricity,304399,311821,24115,33112,50993,74,5059,4713,1122
2015,Idaho,597421,utility gas,307083,201596,8511,27508,45444,68,267,5043,1901
2012,Idaho,583106,utility gas,303445,189786,10232,27523,46012,421,492,4131,1064
2014,Idaho,591587,utility gas,303196,194895,10243,27837,48610,167,476,4811,1352
2010,Idaho,576709,utility gas,301227,183522,13320,31483,40437,249,280,4841,1350
2013,Idaho,588489,utility gas,296247,196590,9764,30365,46389,225,494,5936,2479
2013,Hawaii,450120,no fuel used,9343,125472,38,5536,1728,11882,77,391,295653
2014,Hawaii,450769,no fuel used,8653,128113,197,4314,1514,12023,42,356,295557
2011,Idaho,580193,utility gas,293858,191360,11233,29016,48446,41,558,4020,1661
2015,Hawaii,445936,no fuel used,8107,126207,119,4349,850,13633,0,137,292534
2016,Hawaii,455868,no fuel used,9951,129907,253,5212,668,16750,187,460,292480
2017,Hawaii,458078,no fuel used,10364,130309,189,6467,2073,16519,64,131,291962
2009,Idaho,558466,utility gas,286405,180108,13607,30812,41232,0,608,4847,847
2008,Idaho,566004,utility gas,285735,188088,16288,28852,40346,590,630,4501,974
2010,Hawaii,445812,no fuel used,9045,140601,114,4321,1325,5443,0,417,284546
2009,Hawaii,446136,no fuel used,8670,138795,109,5531,3049,5796,0,256,283930
2018,Hawaii,455309,no fuel used,11004,134854,215,7370,1301,16595,92,253,283625
2012,Hawaii,447748,no fuel used,8173,145001,89,5728,1396,6473,0,456,280432
2011,Hawaii,448563,no fuel used,9513,144192,48,5529,2020,6587,0,244,280430
2007,Idaho,560567,utility gas,280118,181512,18280,31910,39747,46,789,6788,1377
2006,Idaho,548555,utility gas,278498,169424,19565,33767,39569,204,941,5507,1080
2006,New Hampshire,504503,"fuel oil, kerosene, etc.",97361,39301,278315,60779,22324,25,832,3191,2375
2005,New Hampshire,497054,"fuel oil, kerosene, etc.",94714,38310,277528,62973,18985,43,1181,2411,909
2019,Hawaii,465299,no fuel used,9823,157002,254,7151,1227,16356,313,444,272729
2007,New Hampshire,501505,"fuel oil, kerosene, etc.",101110,38014,267624,62813,25253,25,579,4094,1993
2008,New Hampshire,505286,"fuel oil, kerosene, etc.",99636,35651,265039,65311,30619,166,542,4861,3461
2007,Hawaii,439685,no fuel used,10129,155433,92,6256,1350,4903,0,344,261178
2009,New Hampshire,506342,"fuel oil, kerosene, etc.",97958,38419,260482,67267,33176,240,791,5583,2426
2005,Idaho,532135,utility gas,260103,176455,21240,31783,37141,52,1056,3000,1305
2005,Hawaii,430007,no fuel used,13566,147093,79,7383,1515,5079,50,196,255046
2008,Hawaii,437105,no fuel used,8739,160519,124,6638,2118,4741,85,0,254141
2010,New Hampshire,515431,"fuel oil, kerosene, etc.",100857,41909,253772,70863,40272,85,416,4752,2505
2011,New Hampshire,516454,"fuel oil, kerosene, etc.",100958,40613,252159,74416,37084,280,910,7019,3015
2006,Hawaii,432632,no fuel used,10512,157932,120,7568,2055,5343,50,333,248719
2012,New Hampshire,519137,"fuel oil, kerosene, etc.",104858,39257,245324,72091,43948,593,593,7870,4603
2013,New Hampshire,519246,"fuel oil, kerosene, etc.",101529,42038,239542,76485,44711,334,744,9251,4612
2015,New Hampshire,517615,"fuel oil, kerosene, etc.",103292,46002,232674,78670,42472,488,674,10268,3075
2018,New Hampshire,531212,"fuel oil, kerosene, etc.",113986,50260,232152,86695,35632,411,641,8224,3211
2014,New Hampshire,519756,"fuel oil, kerosene, etc.",100601,46268,230361,76212,49555,275,1781,10068,4635
2017,Montana,423091,utility gas,229832,98887,3934,52646,30846,114,175,3871,2786
2016,New Hampshire,520643,"fuel oil, kerosene, etc.",110428,48677,229187,81949,35047,666,1236,9880,3573
2019,New Hampshire,541396,"fuel oil, kerosene, etc.",115248,53861,227725,94024,34512,632,606,9508,5280
2017,New Hampshire,528700,"fuel oil, kerosene, etc.",111070,47927,227681,90341,37912,575,693,8850,3651
2018,Rhode Island,406573,utility gas,226173,41491,117880,11618,4634,313,132,2687,1645
2019,Montana,437651,utility gas,225502,114538,3748,59192,29920,329,383,3064,975
2018,Montana,431421,utility gas,225236,105015,3734,56685,34624,112,383,3890,1742
2019,Rhode Island,407174,utility gas,225120,41783,116413,14493,5906,243,42,2180,994
2015,Montana,414804,utility gas,224376,98131,4243,49552,32691,310,541,3351,1609
2010,Montana,402747,utility gas,224327,79763,6655,51997,34549,383,955,3410,708
2011,Montana,404250,utility gas,223151,85153,6439,48919,35469,60,600,3690,769
2016,Rhode Island,408239,utility gas,221544,43722,122343,10488,6219,290,399,2140,1094
2012,Montana,408938,utility gas,221497,86337,5488,48601,37505,126,926,7212,1246
2014,Montana,410962,utility gas,221378,94131,4019,50495,34643,376,533,4046,1341
2016,Montana,416125,utility gas,218417,104012,4364,47891,33708,244,649,5354,1486
2014,Rhode Island,409654,utility gas,217810,39832,129877,11457,7318,0,333,2159,868
2013,Montana,406288,utility gas,217689,89434,4126,49009,37525,342,618,5500,2045
2009,Montana,375287,utility gas,217410,68854,6364,46079,30496,270,652,4064,1098
2017,Rhode Island,408748,utility gas,216466,43380,126191,12165,5952,47,190,2845,1512
2005,Montana,368268,utility gas,216344,61116,7880,48919,28446,188,1066,3360,949
2015,Rhode Island,407484,utility gas,216129,43085,124029,11955,7228,0,504,3101,1453
2007,Montana,371954,utility gas,215892,66054,6243,48188,30210,285,701,4012,369
2008,Montana,375598,utility gas,215072,71264,6667,48521,28615,82,1028,3512,837
2006,Montana,372190,utility gas,213544,61718,8200,51496,30500,343,963,4522,904
2013,Rhode Island,406366,utility gas,212545,39215,132486,10035,8547,185,845,1769,739
2011,Rhode Island,412259,utility gas,209106,34511,151784,7816,5860,75,584,1590,933
2012,Rhode Island,413083,utility gas,208173,38606,144208,10361,7592,204,413,2165,1361
2009,Rhode Island,406343,utility gas,206115,31037,155388,6509,5214,25,909,803,343
2010,Rhode Island,402295,utility gas,197703,35706,151847,7793,7084,0,125,814,1223
2008,Rhode Island,399107,utility gas,196604,32681,154070,7791,5221,82,1011,975,672
2005,Rhode Island,406089,utility gas,194421,30711,166680,9305,2806,270,181,969,746
2007,Rhode Island,402538,utility gas,193138,30221,163615,8844,4976,93,110,1197,344
2006,Rhode Island,405627,utility gas,193063,30796,165145,10586,4542,65,410,736,284
2019,South Dakota,353799,utility gas,164029,114940,5362,57650,4959,82,74,4380,2323
2015,South Dakota,339437,utility gas,162018,101989,6671,53053,6677,190,143,6311,2385
2018,South Dakota,345449,utility gas,161455,109872,5712,55267,6415,5,203,4023,2497
2017,South Dakota,344260,utility gas,161222,111476,7317,51864,5105,83,196,4450,2547
2014,South Dakota,334475,utility gas,160121,97069,8253,53817,6959,128,152,5957,2019
2019,Delaware,376239,utility gas,159659,132078,38189,38075,3032,981,271,2269,1685
2008,South Dakota,319926,utility gas,158249,81815,12221,54960,6305,27,452,4378,1519
2018,Delaware,367671,utility gas,157776,122903,42215,37299,2904,831,246,2412,1085
2009,South Dakota,316638,utility gas,157236,80238,11354,56500,5163,43,108,4605,1391
2012,South Dakota,323765,utility gas,156813,92135,7806,54015,6133,275,266,4387,1935
2011,South Dakota,323215,utility gas,156765,89439,10902,55101,5408,64,271,3130,2135
2013,South Dakota,331406,utility gas,156501,99973,8111,52307,5240,120,485,6381,2288
2006,South Dakota,312477,utility gas,156395,68033,14374,60261,6171,106,147,5279,1711
2017,Delaware,357937,utility gas,156142,123152,36593,33703,3642,646,158,2371,1530
2010,South Dakota,318955,utility gas,155638,85447,9105,53407,7259,119,276,5588,2116
2016,South Dakota,334003,utility gas,155319,109209,6854,50018,5699,73,102,4654,2075
2007,South Dakota,312912,utility gas,152966,74167,12495,60099,5011,152,410,5797,1815
2005,South Dakota,310331,utility gas,152218,69550,16494,62895,3938,108,379,3819,930
2016,Delaware,351085,utility gas,150877,114528,40914,37262,3808,316,300,1751,1329
2015,Delaware,352595,utility gas,145437,114947,47187,36295,4581,358,390,1615,1785
2010,Wyoming,222803,utility gas,142370,42659,922,22173,11071,445,906,1855,402
2006,Vermont,253808,"fuel oil, kerosene, etc.",35293,9221,142053,37523,27057,104,324,944,1289
2018,Wyoming,230252,utility gas,141898,51421,534,22466,10778,277,872,1027,979
2014,Delaware,349743,utility gas,140922,117578,47201,35973,3572,108,278,1864,2247
2005,Vermont,248825,"fuel oil, kerosene, etc.",35390,10237,139253,37966,22500,80,446,988,1965
2012,Delaware,340308,utility gas,139144,107027,51437,35463,4283,125,131,1933,765
2013,Delaware,339071,utility gas,138987,110313,48095,32922,3396,166,851,3067,1274
2014,Wyoming,232594,utility gas,138875,53400,778,22193,12621,61,1462,2534,670
2019,Wyoming,233128,utility gas,138003,53068,199,28099,9447,102,1341,1814,1055
2016,Wyoming,223619,utility gas,137875,49466,940,20581,11184,100,478,2037,958
2017,Wyoming,225796,utility gas,137155,49131,548,21945,12744,309,910,2081,973
2007,Vermont,252580,"fuel oil, kerosene, etc.",35144,10106,136673,37366,30627,51,529,1352,732
2015,Wyoming,228937,utility gas,135634,53623,449,22692,12772,26,961,2019,761
2012,Wyoming,223513,utility gas,134357,50489,357,23326,11887,141,819,1738,399
2011,Delaware,333192,utility gas,134125,104516,52969,34745,3170,209,455,2326,677
2019,North Dakota,323519,electricity,129531,133513,6600,44922,1116,13,682,4501,2641
2013,Wyoming,224003,utility gas,133356,50094,649,23452,11656,185,1951,2040,620
2008,Vermont,249986,"fuel oil, kerosene, etc.",37047,9824,132927,34778,31877,156,533,2579,265
2010,Delaware,328765,utility gas,132098,99495,57073,35077,2573,34,160,1407,848
2008,Wyoming,208613,utility gas,131957,40112,991,21307,9898,279,1567,1963,539
2006,Wyoming,207302,utility gas,131152,41263,406,21475,9545,272,1341,1212,636
2009,Delaware,327252,utility gas,131109,94510,58735,36574,3911,148,364,1080,821
2015,North Dakota,313475,utility gas,130987,123653,8473,41709,1440,7,666,2947,3593
2008,Delaware,328654,utility gas,130794,92745,63538,35741,3442,0,19,1643,732
2005,Wyoming,204935,utility gas,130662,36331,708,23248,9003,375,1607,2560,441
2011,Wyoming,222539,utility gas,130525,51264,1052,22887,13459,139,981,2204,28
2016,North Dakota,315134,electricity,126758,130063,8528,40651,1900,9,397,3808,3020
2009,Wyoming,213571,utility gas,129712,42567,565,24644,13054,130,1066,1525,308
2018,North Dakota,319355,utility gas,129563,128042,7346,45025,1240,12,630,3831,3666
2017,North Dakota,316306,electricity,127069,128773,8374,43794,1585,39,508,3510,2654
2007,Delaware,328477,utility gas,128613,98807,60440,36086,2607,0,554,780,590
2007,Wyoming,206136,utility gas,125090,42412,1063,24299,9451,131,1301,1959,430
2013,North Dakota,298298,utility gas,123757,114846,10163,39927,1695,45,1331,4013,2521
2009,Vermont,251736,"fuel oil, kerosene, etc.",37341,10483,123722,38828,37374,149,298,2683,858
2014,North Dakota,305431,electricity,121884,123672,8502,39684,2021,39,1075,4850,3704
2015,Alaska,250185,utility gas,122946,32857,71730,3713,13928,14,1170,1951,1876
2010,Vermont,256922,"fuel oil, kerosene, etc.",41357,13667,122832,35529,38777,122,597,3182,859
2011,Vermont,257358,"fuel oil, kerosene, etc.",39163,10855,122786,39551,41261,98,632,2834,178
2011,Alaska,257330,utility gas,122456,30948,81900,3562,15790,13,782,1100,779
2019,Alaska,252199,utility gas,122448,30611,77795,4879,12171,8,1024,2053,1210
2013,Alaska,246015,utility gas,122315,26064,74729,3471,15670,0,860,2252,654
2018,Alaska,254551,utility gas,122020,34656,73236,5640,12918,50,926,2616,2489
2010,Alaska,254610,utility gas,121979,26546,84963,3998,13879,49,490,1884,822
2005,Delaware,317640,utility gas,121829,86460,67531,36966,1704,0,433,1634,1083
2012,Alaska,251651,utility gas,121498,29529,77163,4021,16548,50,1160,1072,610
2016,Alaska,248468,utility gas,121177,30368,70918,3726,16416,0,915,3627,1321
2008,North Dakota,274743,utility gas,120838,92969,14484,37245,2063,30,1217,3458,2439
2017,Alaska,250741,utility gas,120375,33262,74844,4456,12492,194,571,2365,2182
2006,Delaware,320110,utility gas,119819,88751,67162,38341,3725,0,668,1219,425
2014,Alaska,249659,utility gas,119714,30963,73871,2843,17276,0,1025,2043,1924
2012,North Dakota,290944,utility gas,119677,111749,11457,38617,1571,31,1083,4751,2008
2008,Alaska,237607,utility gas,117543,21826,78645,3663,12931,69,820,1379,731
2011,North Dakota,283440,utility gas,116695,107612,11884,38371,1774,110,1248,3538,2208
2009,Alaska,236597,utility gas,115946,22569,77765,3344,13751,22,1266,1737,197
2007,Alaska,236421,utility gas,115521,22230,81151,4514,10476,0,883,1069,577
2014,Vermont,257229,"fuel oil, kerosene, etc.",43091,11250,115387,38116,43828,179,748,4258,372
2009,North Dakota,279014,utility gas,115000,103443,13625,39179,1458,0,835,3339,2135
2012,Vermont,258520,"fuel oil, kerosene, etc.",41601,12532,114708,38497,46051,206,716,3749,460
2006,North Dakota,272352,utility gas,113736,92338,17050,40095,1883,118,1006,3898,2228
2010,North Dakota,280412,utility gas,112756,104750,12532,41337,1632,73,828,4035,2469
2005,North Dakota,270437,utility gas,112506,86605,19703,41960,1386,0,876,4899,2502
2006,Alaska,229878,utility gas,111340,23558,77905,4472,9472,0,932,1151,1048
2013,Vermont,253234,"fuel oil, kerosene, etc.",42192,11779,111011,38339,44411,257,648,3630,967
2005,Alaska,233252,utility gas,110812,25844,82482,3279,6624,142,851,1830,1388
2007,North Dakota,271724,utility gas,109423,98409,17294,38960,1533,11,1629,2836,1629
2018,Vermont,261373,"fuel oil, kerosene, etc.",47328,14122,108961,44423,40731,819,532,3930,527
2019,Vermont,262767,"fuel oil, kerosene, etc.",48826,16723,108658,48270,34473,547,297,4727,246
2015,Vermont,254865,"fuel oil, kerosene, etc.",45256,12610,108532,40280,42271,263,735,4298,620
2017,Vermont,256629,"fuel oil, kerosene, etc.",47036,14035,107395,43339,38840,612,463,3997,912
2016,Vermont,254851,"fuel oil, kerosene, etc.",46388,14097,106498,42621,39455,571,695,3822,704
